STATIONID	YEAR	MONTH	DAY	HOUR	MINUTE	PRECIPITATION
STABG	2000	12	5	0	0	0
STABG	2000	12	6	0	0	0
STABG	2000	12	7	0	0	0.06
STABG	2000	12	8	0	0	0
STABG	2000	12	9	0	0	0
STABG	2000	12	10	0	0	0
STABG	2000	12	11	0	0	0
STABG	2000	12	12	0	0	0
STABG	2000	12	13	0	0	0
STABG	2000	12	14	0	0	0
STABG	2000	12	15	0	0	0
STABG	2000	12	16	0	0	0
STABG	2000	12	17	0	0	0
STABG	2000	12	18	0	0	0
STABG	2000	12	19	0	0	0
STABG	2000	12	20	0	0	0
STABG	2000	12	21	0	0	0
STABG	2000	12	22	0	0	0
STABG	2000	12	23	0	0	0
STABG	2000	12	24	0	0	0
STABG	2000	12	25	0	0	0
STABG	2000	12	26	0	0	0.01
STABG	2000	12	27	0	0	0
STABG	2000	12	28	0	0	0
STABG	2000	12	29	0	0	0.23
STABG	2000	12	30	0	0	0
STABG	2000	12	31	0	0	0
STABG	2001	1	1	0	0	0
STABG	2001	1	2	0	0	0
STABG	2001	1	3	0	0	0
STABG	2001	1	4	0	0	0.04
STABG	2001	1	5	0	0	0
STABG	2001	1	6	0	0	0
STABG	2001	1	7	0	0	0
STABG	2001	1	8	0	0	0
STABG	2001	1	9	0	0	0.23
STABG	2001	1	10	0	0	0
STABG	2001	1	11	0	0	0
STABG	2001	1	12	0	0	0
STABG	2001	1	13	0	0	0
STABG	2001	1	14	0	0	0
STABG	2001	1	15	0	0	0
STABG	2001	1	16	0	0	0
STABG	2001	1	17	0	0	0
STABG	2001	1	18	0	0	0
STABG	2001	1	19	0	0	0
STABG	2001	1	20	0	0	0.03
STABG	2001	1	21	0	0	0.11
STABG	2001	1	22	0	0	0.05
STABG	2001	1	23	0	0	0.18
STABG	2001	1	24	0	0	0
STABG	2001	1	25	0	0	0
STABG	2001	1	26	0	0	0
STABG	2001	1	27	0	0	0
STABG	2001	1	28	0	0	0
STABG	2001	1	29	0	0	0
